Area of Operation,Task,Type,ACS Code,Description,61.107(b)(1),61.105(b),61.93(e),61.87(d)
,,Knowledge,PA.IV.C.K1,Soft-field takeoff and climb procedures per the POH/AFM.,,,,
,,,PA.IV.C.K2,Effects of soft or uneven surfaces on takeoff performance.,,,,
,,Risk Management,PA.IV.C.R1,"Surface conditions affecting takeoff performance (e.g., wet grass, mud).",,,,
,,,PA.IV.C.R2,Collision hazards with obstacles or terrain during takeoff and climb from a soft field.,,,,
,,,PA.IV.C.R3,Premature liftoff or settling back onto the surface after liftoff.,,,,
,,Skills,PA.IV.C.S1,Complete the appropriate checklist.,,,,
,,,PA.IV.C.S2,Make radio calls as appropriate.,,,,
,,,PA.IV.C.S3,Verify and position flight controls appropriately for wind conditions and surface.,,,,
,,,PA.IV.C.S4,Taxi onto the takeoff surface at a speed consistent with safety and apply takeoff power smoothly while maintaining directional control.,,,,
,,,PA.IV.C.S5,Lift off at the lowest possible airspeed and remain in ground effect until accelerating to an appropriate climb speed.,,,,
,,,PA.IV.C.S6,"Climb at an appropriate speed (e.g., Vx or Vy) Â±10 knots until obstacles are cleared, then transition to a normal climb.",,,,
,,,PA.IV.C.S7,Maintain directional control and proper wind-drift correction throughout the takeoff and climb.,,,,
,D. Soft-Field Approach and Landing,Objective,PA.IV.D,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with a soft-field approach and landing.",,,,
,,Knowledge,PA.IV.D.K1,Soft-field approach and landing procedures per the POH/AFM.,,,,
,,,PA.IV.D.K2,Effects of soft or uneven surfaces on landing performance.,,,,
,,Risk Management,PA.IV.D.R1,Unstabilized approach and failure to execute a go-around when appropriate.,,,,
,,,PA.IV.D.R2,"Surface conditions affecting landing performance (e.g., wet grass, mud).",,,,
,,,PA.IV.D.R3,Collision hazards with obstacles or terrain during approach and landing on a soft field.,,,,
,,Skills,PA.IV.D.S1,Complete the appropriate checklist.,,,,
,,,PA.IV.D.S2,Make radio calls as appropriate.,,,,
,,,PA.IV.D.S3,"Establish the recommended approach and landing configuration and airspeed, Â±10 knots.",,,,
,,,PA.IV.D.S4,"Maintain a stabilized approach and recommended airspeed, or in its absence, not more than 1.3 Vso, Â±10 knots, to the flare.",,,,
,,,PA.IV.D.S5,"Touch down softly at minimum controllable airspeed with no drift, and aligned with the runway centerline.",,,,
,,,PA.IV.D.S6,"Maintain crosswind correction and directional control throughout the approach and landing, keeping weight off the nosewheel.",,,,
,E. Short-Field Takeoff and Maximum Performance Climb,Objective,PA.IV.E,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with a short-field takeoff and maximum performance climb.",,,,
,,Knowledge,PA.IV.E.K1,Short-field takeoff and maximum performance climb procedures per the POH/AFM.,,,,
,,,PA.IV.E.K2,"Effects of runway length, surface, and obstacles on takeoff and climb performance.",,,,
,,Risk Management,PA.IV.E.R1,"Runway conditions affecting takeoff performance (e.g., wet, contaminated).",,,,
,,,PA.IV.E.R2,Collision hazards with obstacles or terrain during takeoff and climb from a short field.,,,,
,,,PA.IV.E.R3,Failure to achieve maximum performance during climb.,,,,
,,Skills,PA.IV.E.S1,Complete the appropriate checklist.,,,,
,,,PA.IV.E.S2,Make radio calls as appropriate.,,,,
,,,PA.IV.E.S3,Verify and position flight controls appropriately for wind conditions and runway alignment.,,,,
,,,PA.IV.E.S4,"Align the airplane on the runway centerline, utilizing maximum available takeoff area, and apply takeoff power smoothly.",,,,
,,,PA.IV.E.S5,"Rotate and lift off at the recommended airspeed and climb at Vx Â±5 knots until obstacles are cleared, then transition to Vy Â±10 knots.",,,,
,,,PA.IV.E.S6,Maintain directional control and proper wind-drift correction throughout the takeoff and climb.,,,,
,F. Short-Field Approach and Landing,Objective,PA.IV.F,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with a short-field approach and landing.",,,,
,,Knowledge,PA.IV.F.K1,Short-field approach and landing procedures per the POH/AFM.,,,,
,,,PA.IV.F.K2,"Effects of runway length, surface, and wind on landing performance.",,,,
,,Risk Management,PA.IV.F.R1,Unstabilized approach and failure to execute a go-around when appropriate.,,,,
,,,PA.IV.F.R2,"Runway conditions affecting landing performance (e.g., wet, contaminated).",,,,
,,,PA.IV.F.R3,Collision hazards with obstacles or terrain during approach and landing on a short field.,,,,
,,Skills,PA.IV.F.S1,Complete the appropriate checklist.,,,,
,,,PA.IV.F.S2,Make radio calls as appropriate.,,,,
,,,PA.IV.F.S3,"Establish the recommended approach and landing configuration and airspeed, Â±10 knots.",,,,
,,,PA.IV.F.S4,"Maintain a stabilized approach and recommended airspeed, or in its absence, not more than 1.3 Vso, Â±5 knots, to the flare.",,,,
,,,PA.IV.F.S5,"Touch down at or within 200 feet beyond a specified point, with no drift, and aligned with the runway centerline.",,,,
,,,PA.IV.F.S6,Apply brakes as necessary to stop in the shortest distance consistent with safety.,,,,
,,,PA.IV.F.S7,Maintain crosswind correction and directional control throughout the approach and landing.,,,,
,G. Go-Around/Rejected Landing,Objective,PA.IV.G,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with a go-around/rejected landing.",,,,
,,Knowledge,PA.IV.G.K1,Go-around/rejected landing procedures per the POH/AFM.,,,,
,,,PA.IV.G.K2,"Situations requiring a go-around (e.g., unstabilized approach, runway incursion).",,,,
,,Risk Management,PA.IV.G.R1,Delayed decision to initiate a go-around.,,,,
,,,PA.IV.G.R2,Collision hazards with obstacles or terrain during a go-around.,,,,
,,,PA.IV.G.R3,Improper application of power or configuration during a go-around.,,,,
,,Skills,PA.IV.G.S1,Make a timely decision to discontinue the approach and initiate a go-around.,,,,
,,,PA.IV.G.S2,Apply takeoff power immediately and transition to a climb pitch attitude with appropriate configuration.,,,,
,,,PA.IV.G.S3,"Climb at an appropriate airspeed (e.g., Vy or manufacturerâ€™s recommended speed) Â±10 knots.",,,,
,,,PA.IV.G.S4,Maintain directional control and proper wind-drift correction throughout the go-around.,,,,
,,,PA.IV.G.S5,Complete the appropriate checklist and make radio calls as appropriate.,,,,
V. Performance and Ground Reference Maneuvers,A. Steep Turns,Objective,PA.V.A,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with steep turns.",,,,
,,Knowledge,PA.V.A.K1,Purpose and procedures for performing steep turns.,,,,
,,,PA.V.A.K2,"Aerodynamics of steep turns (e.g., load factor, stall speed increase).",,,,
,,Risk Management,PA.V.A.R1,Overbanking tendency and loss of control during steep turns.,,,,
,,,PA.V.A.R2,Collision hazards during maneuvering flight.,,,,
,,,PA.V.A.R3,Low altitude maneuvering and stall/spin awareness.,,,,
,,Skills,PA.V.A.S1,"Establish the manufacturerâ€™s recommended airspeed or, if not specified, a safe airspeed not to exceed VA.",,,,
,,,PA.V.A.S2,"Roll into a coordinated 45Â° bank turn (Â±5Â°), maintaining altitude Â±100 feet and airspeed Â±10 knots.",,,,
,,,PA.V.A.S3,Reverse the turn to the opposite direction while maintaining altitude and airspeed within tolerances.,,,,
,,,PA.V.A.S4,"Maintain coordination throughout the maneuver (e.g., ball centered).",,,,
,B. Ground Reference Maneuvers,Objective,PA.V.B,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with ground reference maneuvers.",,,,
,,Knowledge,PA.V.B.K1,"Purpose and procedures for rectangular course, S-turns, and turns around a point.",,,,
,,,PA.V.B.K2,Effects of wind on ground track and maneuvering flight.,,,,
,,Risk Management,PA.V.B.R1,Collision hazards with obstacles or other aircraft during ground reference maneuvers.,,,,
,,,PA.V.B.R2,Low altitude maneuvering and stall/spin awareness.,,,,
,,,PA.V.B.R3,Improper wind correction leading to drift off the intended ground track.,,,,
,,Skills,PA.V.B.S1,"Select a suitable reference point or course and enter the maneuver at an appropriate altitude (600-1,000 feet AGL) and airspeed Â±10 knots.",,,,
,,,PA.V.B.S2,Apply proper wind-drift correction to maintain a consistent ground track around the selected reference point or course.,,,,
,,,PA.V.B.S3,"Divide attention between airplane control and maintaining the ground track, keeping altitude Â±100 feet and bank angle Â±10Â°.",,,,
,,,PA.V.B.S4,"Maintain coordination throughout the maneuver (e.g., ball centered).",,,,
VI. Navigation,A. Pilotage and Dead Reckoning,Objective,PA.VI.A,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with pilotage and dead reckoning.",,,,
,,Knowledge,PA.VI.A.K1,"Pilotage and dead reckoning navigation techniques (e.g., use of charts, checkpoints, time/speed/distance).",,,,
,,,PA.VI.A.K2,Effects of wind on navigation and groundspeed.,,,,
,,Risk Management,PA.VI.A.R1,Disorientation or getting lost during navigation.,,,,
,,,PA.VI.A.R2,Fuel management during cross-country flight.,,,,
,,,PA.VI.A.R3,Collision hazards with terrain or obstacles during low-altitude navigation.,,,,
,,Skills,PA.VI.A.S1,Navigate by pilotage using preplanned checkpoints and landmarks.,,,,
,,,PA.VI.A.S2,"Navigate by dead reckoning using precomputed headings, groundspeeds, and elapsed time, Â±10 minutes or 10 miles.",,,,
,,,PA.VI.A.S3,Verify position using ground references and adjust course as necessary.,,,,
,B. Navigation Systems and Radar Services,Objective,PA.VI.B,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with navigation systems and radar services.",,,,
,,Knowledge,PA.VI.B.K1,"Use and limitations of navigation systems (e.g., VOR, GPS) and their operating procedures.",,,,
,,,PA.VI.B.K2,"Radar services available to VFR pilots (e.g., flight following, weather radar).",,,,
,,Risk Management,PA.VI.B.R1,Overreliance on navigation systems without cross-checking with other methods.,,,,
,,,PA.VI.B.R2,Failure to recognize navigation system malfunctions or errors.,,,,
,,Skills,PA.VI.B.S1,"Use an installed navigation system (e.g., VOR, GPS) to navigate to a specified point or along a predetermined route.",,,,
,,,PA.VI.B.S2,"Use radar services (e.g., flight following) when available and appropriate during navigation.",,,,
,C. Diversion,Objective,PA.VI.C,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with diverting to an alternate airport.",,,,
,,Knowledge,PA.VI.C.K1,"Procedures for diverting to an alternate airport, including course, altitude, and fuel considerations.",,,,
,,Risk Management,PA.VI.C.R1,"Delayed decision to divert, leading to fuel exhaustion or encountering adverse conditions.",,,,
,,,PA.VI.C.R2,Collision hazards with terrain or obstacles during a diversion.,,,,
,,Skills,PA.VI.C.S1,Select an appropriate alternate airport and route based on a scenario provided by the evaluator.,,,,
,,,PA.VI.C.S2,"Estimate heading, groundspeed, ETA, and fuel required to reach the alternate airport, Â±10 minutes or 10 miles.",,,,
,,,PA.VI.C.S3,Navigate to the alternate airport using available navigation methods.,,,,
,D. Lost Procedures,Objective,PA.VI.D,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with lost procedures.",,,,
,,Knowledge,PA.VI.D.K1,"Lost procedures (e.g., 5 Cs: Climb, Circle, Conserve, Communicate, Confess).",,,,
,,Risk Management,PA.VI.D.R1,Disorientation leading to fuel exhaustion or controlled flight into terrain.,,,,
,,,PA.VI.D.R2,Failure to seek assistance when lost.,,,,
,,Skills,PA.VI.D.S1,Use an appropriate lost procedure to determine position and navigate to a known location or airport.,,,,
,,,PA.VI.D.S2,Communicate with ATC or other available resources to assist in determining position.,,,,
VII. Slow Flight and Stalls,A. Maneuvering During Slow Flight,Objective,PA.VII.A,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with maneuvering during slow flight in various configurations.",,,,
,,Knowledge,PA.VII.A.K1,"Aerodynamics of slow flight (e.g., increased angle of attack, decreased airspeed).",,,,
,,,PA.VII.A.K2,Performance and limitations during slow flight in various configurations.,,,,
,,Risk Management,PA.VII.A.R1,Inadvertent stall or spin during slow flight.,,,,
,,,PA.VII.A.R2,Collision hazards during low-altitude slow flight.,,,,
,,Skills,PA.VII.A.S1,"Establish and maintain an airspeed that results in minimum controllable airspeed or just above stall warning activation, Â±10 knots.",,,,
,,,PA.VII.A.S2,"Perform coordinated turns, climbs, and descents while maintaining altitude Â±100 feet and bank Â±10Â°.",,,,
,,,PA.VII.A.S3,"Maintain coordination throughout the maneuver (e.g., ball centered).",,,,
,B. Power-Off Stalls,Objective,PA.VII.B,"To determine that the applicant exhibits satisfactory knowledge, risk management, and skills associated with power-off stalls.",,,,
,,Knowledge,PA.VII.B.K1,"Aerodynamics of power-off stalls (e.g., critical angle of attack, stall progression).",,,,
,,,PA.VII.B.K2,"Indications of an impending stall (e.g., buffet, stall warning).",,,,
,,Risk Management,PA.VII.B.R1,Inadvertent spin during a stall maneuver.,,,,
,,,PA.VII.B.R2,Collision hazards during low-altitude stall practice.,,,,
,,Skills,PA.VII.B.S1,"Select an entry altitude that allows recovery above 1,500 feet AGL or the manufacturerâ€™s recommended altitude, whichever is higher.",,,,
,,,PA.VII.B.S2,Establish a power-off descent and induce a stall in a straight-ahead or turning configuration (up to 20Â° bank).,,,,
,,,PA.VII.B.S3,"Recognize the first indication of a stall and promptly recover by reducing angle of attack, applying maximum power, and leveling the wings, maintaining altitude Â±100 feet after recovery.",,,,
,,,PA.VII.B.S4,"Maintain coordination throughout the maneuver (e.g., ball centered).",,,,
